model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,test_rows_before,validation_unique_pairs,cross_split_overlap_rows_removed,cross_split_overlap_pairs_removed,eligible_test_rows,eligible_unique_pairs,within_test_duplicate_rows_collapsed,pair_label_conflicts,mixed_policy_state_pairs
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_4,drug,base,0.9,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_4,drug,base,0.9,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_5,target,base,0.8,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_5,target,base,0.8,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_5,target,base,0.9,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_5,target,base,0.9,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_5,drug,base,0.8,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_5,drug,base,0.8,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_5,drug,base,0.9,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_5,drug,base,0.9,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_6,target,base,0.8,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_6,target,base,0.8,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_6,target,base,0.9,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_6,target,base,0.9,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_6,drug,base,0.8,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_6,drug,base,0.8,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_6,drug,base,0.9,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_6,drug,base,0.9,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_7,target,base,0.8,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_7,target,base,0.8,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_7,target,base,0.9,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_7,target,base,0.9,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_7,drug,base,0.8,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_7,drug,base,0.8,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_7,drug,base,0.9,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_7,drug,base,0.9,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_8,target,base,0.8,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_8,target,base,0.8,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_8,target,base,0.9,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_8,target,base,0.9,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_8,drug,base,0.8,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_8,drug,base,0.8,0.2,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_8,drug,base,0.9,0.1,0.2,311,150,16,12,295,292,3,0,0
DrugBAN,human,seed_8,drug,base,0.9,0.2,0.2,311,150,16,12,295,292,3,0,0
