model,dataset,test_run,group_axis,confidence_source,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
PACE,human,seed_4,drug,base,-0.020767390099,-0.019230769231,-0.00462962963
PACE,human,seed_4,target,base,-0.075916373908,-0.074358974359,-0.018482302381
PACE,human,seed_5,drug,base,-0.047959264207,-0.017857142857,-0.00462962963
PACE,human,seed_5,target,base,-0.033136224162,0.017857142857,0.00462962963
PACE,human,seed_6,drug,base,-0.004791401128,0.0,0.0
PACE,human,seed_6,target,base,0.0,0.0,0.0
PACE,human,seed_7,drug,base,0.0,0.0,0.0
PACE,human,seed_7,target,base,-0.158409150645,-0.096153846154,-0.024038461538
PACE,human,seed_8,drug,base,0.0,0.0,0.0
PACE,human,seed_8,target,base,-0.009309001067,0.0,0.0
