dataset,review_fraction,policy_budget_rows,mean_residual_candidates,mean_residual_errors,mean_reviewed_n,mean_uncertainty_review_error_rate_at_k,mean_oracle_review_error_rate_at_k,mean_max_possible_review_error_rate_gain_over_uncertainty,mean_uncertainty_error_recall_at_k,mean_oracle_error_recall_at_k,mean_max_possible_error_recall_gain_over_uncertainty,mean_max_possible_review_error_count_gain_over_uncertainty,mean_uncertainty_fraction_of_oracle_error_count
bindingdb,0.05,120,105.23333333333333,25.633333333333333,5.216666666666667,0.2907783504374773,0.9886363636363636,0.6978580131988864,0.06523996817777272,0.29523286722299785,0.24341257482808862,4.954545454545454,0.2907783504374413
bindingdb,0.1,120,105.23333333333333,25.633333333333333,10.416666666666666,0.3045405352449318,0.9640151515151515,0.6594746162702196,0.14455311410018182,0.5234753636289531,0.4027165842391781,9.431818181818182,0.31022235342681015
bindingdb,0.2,120,105.23333333333333,25.633333333333333,20.85,0.2958219693107727,0.8439506039416419,0.5481286346308692,0.26986549664131815,0.8202813205604695,0.5877013384900818,16.818181818181817,0.3312063808835833
biosnap,0.05,120,149.13333333333333,18.116666666666667,7.4,0.2511297498796667,0.9902777777777777,0.7391480278981111,0.11579613531761666,0.5227163098413561,0.40692017452373935,5.466666666666667,0.2525186387686388
biosnap,0.1,120,149.13333333333333,18.116666666666667,14.933333333333334,0.23577819074908335,0.8576028139244084,0.621824623175325,0.20238213591198334,0.8324053477104404,0.6300232117984571,9.45,0.2616763195381616
biosnap,0.2,120,149.13333333333333,18.116666666666667,29.783333333333335,0.2146805193267,0.5653181170855367,0.3506375977588367,0.36461768884555,0.9799002777704603,0.6152825889249104,10.7,0.37350610575884546
human,0.05,120,59.06666666666667,9.25,2.8333333333333335,0.38775510204079594,0.9897959183673469,0.602040816326551,0.13039769643216326,0.3378113894954804,0.2418842430118355,2.0408163265306123,0.3877551020408163
human,0.1,120,59.06666666666667,9.25,5.683333333333334,0.36670715905408163,0.961175898931001,0.5944687398769194,0.25502329287718367,0.6322744947451427,0.44176900745419817,4.142857142857143,0.37856333009394233
human,0.2,120,59.06666666666667,9.25,11.366666666666667,0.3362173979077959,0.7359249760510265,0.39970757814323055,0.45506734615779587,0.8905282803369879,0.5263311668666398,5.877551020408164,0.4628202401769724
