model,dataset,test_run,group_axis,variant,actual_minus_control_auprc
DrugBAN,bindingdb,seed_4,drug,permute_prior,0.033510018558
DrugBAN,bindingdb,seed_4,drug,permute_prior_support,0.107378238981
DrugBAN,bindingdb,seed_4,drug,permute_support,0.048034644305
DrugBAN,bindingdb,seed_4,target,permute_prior,0.131721808532
DrugBAN,bindingdb,seed_4,target,permute_prior_support,0.113929430594
DrugBAN,bindingdb,seed_4,target,permute_support,-0.045962044169
DrugBAN,bindingdb,seed_5,drug,permute_prior,0.000464781199
DrugBAN,bindingdb,seed_5,drug,permute_prior_support,0.202536933379
DrugBAN,bindingdb,seed_5,drug,permute_support,0.152890927844
DrugBAN,bindingdb,seed_5,target,permute_prior,-0.001637023025
DrugBAN,bindingdb,seed_5,target,permute_prior_support,0.05341955473
DrugBAN,bindingdb,seed_5,target,permute_support,-0.105562494366
DrugBAN,bindingdb,seed_6,drug,permute_prior,-0.029821518892
DrugBAN,bindingdb,seed_6,drug,permute_prior_support,0.185107374459
DrugBAN,bindingdb,seed_6,drug,permute_support,0.208764757608
DrugBAN,bindingdb,seed_6,target,permute_prior,
DrugBAN,bindingdb,seed_6,target,permute_prior_support,
DrugBAN,bindingdb,seed_6,target,permute_support,
DrugBAN,bindingdb,seed_7,drug,permute_prior,0.039672175252
DrugBAN,bindingdb,seed_7,drug,permute_prior_support,0.331094493942
DrugBAN,bindingdb,seed_7,drug,permute_support,0.267521499476
DrugBAN,bindingdb,seed_7,target,permute_prior,-0.021900917633
DrugBAN,bindingdb,seed_7,target,permute_prior_support,0.114959046685
DrugBAN,bindingdb,seed_7,target,permute_support,0.073221955387
DrugBAN,bindingdb,seed_8,drug,permute_prior,0.191451507729
DrugBAN,bindingdb,seed_8,drug,permute_prior_support,0.293147588484
DrugBAN,bindingdb,seed_8,drug,permute_support,0.146729814304
DrugBAN,bindingdb,seed_8,target,permute_prior,0.02222582665
DrugBAN,bindingdb,seed_8,target,permute_prior_support,0.108432300202
DrugBAN,bindingdb,seed_8,target,permute_support,0.034021164021
DrugBAN,biosnap,seed_4,drug,permute_prior,0.000946011372
DrugBAN,biosnap,seed_4,drug,permute_prior_support,0.271890718591
DrugBAN,biosnap,seed_4,drug,permute_support,0.187182489252
DrugBAN,biosnap,seed_4,target,permute_prior,0.006186823293
DrugBAN,biosnap,seed_4,target,permute_prior_support,0.182499291539
DrugBAN,biosnap,seed_4,target,permute_support,0.100083501601
DrugBAN,biosnap,seed_5,drug,permute_prior,-0.002669472589
DrugBAN,biosnap,seed_5,drug,permute_prior_support,0.260332393169
DrugBAN,biosnap,seed_5,drug,permute_support,0.174926773893
DrugBAN,biosnap,seed_5,target,permute_prior,0.076047460766
DrugBAN,biosnap,seed_5,target,permute_prior_support,0.112638760898
DrugBAN,biosnap,seed_5,target,permute_support,-0.003361155357
DrugBAN,biosnap,seed_6,drug,permute_prior,0.008666228378
DrugBAN,biosnap,seed_6,drug,permute_prior_support,0.332116561552
DrugBAN,biosnap,seed_6,drug,permute_support,0.221411734625
DrugBAN,biosnap,seed_6,target,permute_prior,-0.052393897808
DrugBAN,biosnap,seed_6,target,permute_prior_support,0.001834121628
DrugBAN,biosnap,seed_6,target,permute_support,-0.092207242778
DrugBAN,biosnap,seed_7,drug,permute_prior,-0.014649416594
DrugBAN,biosnap,seed_7,drug,permute_prior_support,0.302926707583
DrugBAN,biosnap,seed_7,drug,permute_support,0.170621363994
DrugBAN,biosnap,seed_7,target,permute_prior,0.062882802913
DrugBAN,biosnap,seed_7,target,permute_prior_support,0.252857378361
DrugBAN,biosnap,seed_7,target,permute_support,0.066176983843
DrugBAN,biosnap,seed_8,drug,permute_prior,-0.029310677347
DrugBAN,biosnap,seed_8,drug,permute_prior_support,0.330365157245
DrugBAN,biosnap,seed_8,drug,permute_support,0.180696431425
DrugBAN,biosnap,seed_8,target,permute_prior,-0.0072426919
DrugBAN,biosnap,seed_8,target,permute_prior_support,0.156651249402
DrugBAN,biosnap,seed_8,target,permute_support,0.022618588508
DrugBAN,human,seed_4,drug,permute_prior,
DrugBAN,human,seed_4,drug,permute_prior_support,
DrugBAN,human,seed_4,drug,permute_support,
DrugBAN,human,seed_4,target,permute_prior,
DrugBAN,human,seed_4,target,permute_prior_support,
DrugBAN,human,seed_4,target,permute_support,
DrugBAN,human,seed_5,drug,permute_prior,
DrugBAN,human,seed_5,drug,permute_prior_support,
DrugBAN,human,seed_5,drug,permute_support,
DrugBAN,human,seed_5,target,permute_prior,
DrugBAN,human,seed_5,target,permute_prior_support,
DrugBAN,human,seed_5,target,permute_support,
DrugBAN,human,seed_6,drug,permute_prior,
DrugBAN,human,seed_6,drug,permute_prior_support,
DrugBAN,human,seed_6,drug,permute_support,
DrugBAN,human,seed_6,target,permute_prior,
DrugBAN,human,seed_6,target,permute_prior_support,
DrugBAN,human,seed_6,target,permute_support,
DrugBAN,human,seed_7,drug,permute_prior,
DrugBAN,human,seed_7,drug,permute_prior_support,
DrugBAN,human,seed_7,drug,permute_support,
DrugBAN,human,seed_7,target,permute_prior,-0.0375
DrugBAN,human,seed_7,target,permute_prior_support,-0.013888888889
DrugBAN,human,seed_7,target,permute_support,-0.225
DrugBAN,human,seed_8,drug,permute_prior,0.428571428571
DrugBAN,human,seed_8,drug,permute_prior_support,0.497321428571
DrugBAN,human,seed_8,drug,permute_support,0.064285714286
DrugBAN,human,seed_8,target,permute_prior,0.416666666667
DrugBAN,human,seed_8,target,permute_prior_support,0.65873015873
DrugBAN,human,seed_8,target,permute_support,0.555555555556
PACE,bindingdb,seed_4,drug,permute_prior,0.005909543516
PACE,bindingdb,seed_4,drug,permute_prior_support,0.217259005684
PACE,bindingdb,seed_4,drug,permute_support,0.205467270515
PACE,bindingdb,seed_4,target,permute_prior,0.067306113658
PACE,bindingdb,seed_4,target,permute_prior_support,0.167240027874
PACE,bindingdb,seed_4,target,permute_support,0.217712197134
PACE,bindingdb,seed_5,drug,permute_prior,-0.036398435336
PACE,bindingdb,seed_5,drug,permute_prior_support,0.341290895154
PACE,bindingdb,seed_5,drug,permute_support,0.366169474623
PACE,bindingdb,seed_5,target,permute_prior,0.003275016563
PACE,bindingdb,seed_5,target,permute_prior_support,0.200360230254
PACE,bindingdb,seed_5,target,permute_support,0.212151183193
PACE,bindingdb,seed_6,drug,permute_prior,0.002993090921
PACE,bindingdb,seed_6,drug,permute_prior_support,0.205095970331
PACE,bindingdb,seed_6,drug,permute_support,0.229400996888
PACE,bindingdb,seed_6,target,permute_prior,-0.006243761211
PACE,bindingdb,seed_6,target,permute_prior_support,-0.068921988008
PACE,bindingdb,seed_6,target,permute_support,0.010369082032
PACE,bindingdb,seed_7,drug,permute_prior,-0.03950351356
PACE,bindingdb,seed_7,drug,permute_prior_support,0.308174149614
PACE,bindingdb,seed_7,drug,permute_support,0.31847651365
PACE,bindingdb,seed_7,target,permute_prior,-0.082887300681
PACE,bindingdb,seed_7,target,permute_prior_support,-0.011045134304
PACE,bindingdb,seed_7,target,permute_support,-0.005962067593
PACE,bindingdb,seed_8,drug,permute_prior,0.067492960212
PACE,bindingdb,seed_8,drug,permute_prior_support,0.293930735382
PACE,bindingdb,seed_8,drug,permute_support,0.259596858099
PACE,bindingdb,seed_8,target,permute_prior,0.071472268322
PACE,bindingdb,seed_8,target,permute_prior_support,0.020948080838
PACE,bindingdb,seed_8,target,permute_support,0.02826270695
PACE,biosnap,seed_4,drug,permute_prior,-0.02637455826
PACE,biosnap,seed_4,drug,permute_prior_support,0.232830265666
PACE,biosnap,seed_4,drug,permute_support,0.110489601298
PACE,biosnap,seed_4,target,permute_prior,0.026219724446
PACE,biosnap,seed_4,target,permute_prior_support,0.068023613695
PACE,biosnap,seed_4,target,permute_support,-0.05671445596
PACE,biosnap,seed_5,drug,permute_prior,0.011793453922
PACE,biosnap,seed_5,drug,permute_prior_support,0.189255874926
PACE,biosnap,seed_5,drug,permute_support,0.137457908738
PACE,biosnap,seed_5,target,permute_prior,-0.004165069771
PACE,biosnap,seed_5,target,permute_prior_support,0.034742550002
PACE,biosnap,seed_5,target,permute_support,-0.044630554996
PACE,biosnap,seed_6,drug,permute_prior,0.001736070526
PACE,biosnap,seed_6,drug,permute_prior_support,0.149501608085
PACE,biosnap,seed_6,drug,permute_support,0.10924768494
PACE,biosnap,seed_6,target,permute_prior,-0.011933601431
PACE,biosnap,seed_6,target,permute_prior_support,0.035398000903
PACE,biosnap,seed_6,target,permute_support,0.003075575391
PACE,biosnap,seed_7,drug,permute_prior,0.02906762761
PACE,biosnap,seed_7,drug,permute_prior_support,0.138713776493
PACE,biosnap,seed_7,drug,permute_support,0.151288128507
PACE,biosnap,seed_7,target,permute_prior,-0.030122600841
PACE,biosnap,seed_7,target,permute_prior_support,-0.032847952037
PACE,biosnap,seed_7,target,permute_support,-0.043456711912
PACE,biosnap,seed_8,drug,permute_prior,-0.016028560099
PACE,biosnap,seed_8,drug,permute_prior_support,0.177090857196
PACE,biosnap,seed_8,drug,permute_support,0.131406584556
PACE,biosnap,seed_8,target,permute_prior,-0.008238551292
PACE,biosnap,seed_8,target,permute_prior_support,0.097185583487
PACE,biosnap,seed_8,target,permute_support,0.057905157016
PACE,human,seed_4,drug,permute_prior,-0.016666666666
PACE,human,seed_4,drug,permute_prior_support,0.431481481482
PACE,human,seed_4,drug,permute_support,0.338888888889
PACE,human,seed_4,target,permute_prior,0.1125
PACE,human,seed_4,target,permute_prior_support,0.800682419432
PACE,human,seed_4,target,permute_support,0.371527777778
PACE,human,seed_5,drug,permute_prior,0.067112794613
PACE,human,seed_5,drug,permute_prior_support,0.267302940116
PACE,human,seed_5,drug,permute_support,0.235660277223
PACE,human,seed_5,target,permute_prior,0.252248677249
PACE,human,seed_5,target,permute_prior_support,0.540489245435
PACE,human,seed_5,target,permute_support,0.166617063492
PACE,human,seed_6,drug,permute_prior,
PACE,human,seed_6,drug,permute_prior_support,
PACE,human,seed_6,drug,permute_support,
PACE,human,seed_6,target,permute_prior,
PACE,human,seed_6,target,permute_prior_support,
PACE,human,seed_6,target,permute_support,
PACE,human,seed_7,drug,permute_prior,
PACE,human,seed_7,drug,permute_prior_support,
PACE,human,seed_7,drug,permute_support,
PACE,human,seed_7,target,permute_prior,
PACE,human,seed_7,target,permute_prior_support,
PACE,human,seed_7,target,permute_support,
PACE,human,seed_8,drug,permute_prior,
PACE,human,seed_8,drug,permute_prior_support,
PACE,human,seed_8,drug,permute_support,
PACE,human,seed_8,target,permute_prior,-0.005092592593
PACE,human,seed_8,target,permute_prior_support,0.405455501288
PACE,human,seed_8,target,permute_support,0.485219256052
TAPB,bindingdb,seed_4,drug,permute_prior,
TAPB,bindingdb,seed_4,drug,permute_prior_support,
TAPB,bindingdb,seed_4,drug,permute_support,
TAPB,bindingdb,seed_4,target,permute_prior,
TAPB,bindingdb,seed_4,target,permute_prior_support,
TAPB,bindingdb,seed_4,target,permute_support,
TAPB,bindingdb,seed_5,drug,permute_prior,0.011455175144
TAPB,bindingdb,seed_5,drug,permute_prior_support,0.136979586053
TAPB,bindingdb,seed_5,drug,permute_support,0.155410536724
TAPB,bindingdb,seed_5,target,permute_prior,-0.026559520629
TAPB,bindingdb,seed_5,target,permute_prior_support,-0.012584833781
TAPB,bindingdb,seed_5,target,permute_support,-0.016015824661
TAPB,bindingdb,seed_6,drug,permute_prior,
TAPB,bindingdb,seed_6,drug,permute_prior_support,
TAPB,bindingdb,seed_6,drug,permute_support,
TAPB,bindingdb,seed_6,target,permute_prior,
TAPB,bindingdb,seed_6,target,permute_prior_support,
TAPB,bindingdb,seed_6,target,permute_support,
TAPB,bindingdb,seed_7,drug,permute_prior,-0.001263166458
TAPB,bindingdb,seed_7,drug,permute_prior_support,0.184434857542
TAPB,bindingdb,seed_7,drug,permute_support,0.188510937396
TAPB,bindingdb,seed_7,target,permute_prior,0.031674517838
TAPB,bindingdb,seed_7,target,permute_prior_support,0.085174605275
TAPB,bindingdb,seed_7,target,permute_support,0.020078418887
TAPB,bindingdb,seed_8,drug,permute_prior,0.006022811541
TAPB,bindingdb,seed_8,drug,permute_prior_support,0.131452400548
TAPB,bindingdb,seed_8,drug,permute_support,0.073793038559
TAPB,bindingdb,seed_8,target,permute_prior,0.044575551753
TAPB,bindingdb,seed_8,target,permute_prior_support,0.060119673652
TAPB,bindingdb,seed_8,target,permute_support,0.069816393868
TAPB,biosnap,seed_4,drug,permute_prior,0.026555574322
TAPB,biosnap,seed_4,drug,permute_prior_support,0.173831261047
TAPB,biosnap,seed_4,drug,permute_support,0.134498093826
TAPB,biosnap,seed_4,target,permute_prior,-0.059313733504
TAPB,biosnap,seed_4,target,permute_prior_support,0.02087984581
TAPB,biosnap,seed_4,target,permute_support,-0.01943442641
TAPB,biosnap,seed_5,drug,permute_prior,0.028762019156
TAPB,biosnap,seed_5,drug,permute_prior_support,0.137654714048
TAPB,biosnap,seed_5,drug,permute_support,0.116379859815
TAPB,biosnap,seed_5,target,permute_prior,-0.033390723626
TAPB,biosnap,seed_5,target,permute_prior_support,-0.000929134034
TAPB,biosnap,seed_5,target,permute_support,-0.049776663708
TAPB,biosnap,seed_6,drug,permute_prior,-0.063429969155
TAPB,biosnap,seed_6,drug,permute_prior_support,0.07073663644
TAPB,biosnap,seed_6,drug,permute_support,0.032435963692
TAPB,biosnap,seed_6,target,permute_prior,-0.043302287778
TAPB,biosnap,seed_6,target,permute_prior_support,-0.09772380775
TAPB,biosnap,seed_6,target,permute_support,-0.059604411818
TAPB,biosnap,seed_7,drug,permute_prior,0.031765556364
TAPB,biosnap,seed_7,drug,permute_prior_support,0.152837416279
TAPB,biosnap,seed_7,drug,permute_support,0.093099011022
TAPB,biosnap,seed_7,target,permute_prior,-0.016775542001
TAPB,biosnap,seed_7,target,permute_prior_support,0.039848584865
TAPB,biosnap,seed_7,target,permute_support,-0.019791852294
TAPB,biosnap,seed_8,drug,permute_prior,0.021721059293
TAPB,biosnap,seed_8,drug,permute_prior_support,0.070559854428
TAPB,biosnap,seed_8,drug,permute_support,0.054339684026
TAPB,biosnap,seed_8,target,permute_prior,-0.018118007618
TAPB,biosnap,seed_8,target,permute_prior_support,0.02437756109
TAPB,biosnap,seed_8,target,permute_support,-0.003927424652
TAPB,human,seed_4,drug,permute_prior,
TAPB,human,seed_4,drug,permute_prior_support,
TAPB,human,seed_4,drug,permute_support,
TAPB,human,seed_4,target,permute_prior,-0.083333333334
TAPB,human,seed_4,target,permute_prior_support,0.309126984127
TAPB,human,seed_4,target,permute_support,0.113888888888
TAPB,human,seed_5,drug,permute_prior,
TAPB,human,seed_5,drug,permute_prior_support,
TAPB,human,seed_5,drug,permute_support,
TAPB,human,seed_5,target,permute_prior,0.2
TAPB,human,seed_5,target,permute_prior_support,0.287878787879
TAPB,human,seed_5,target,permute_support,0.395238095238
TAPB,human,seed_6,drug,permute_prior,
TAPB,human,seed_6,drug,permute_prior_support,
TAPB,human,seed_6,drug,permute_support,
TAPB,human,seed_6,target,permute_prior,
TAPB,human,seed_6,target,permute_prior_support,
TAPB,human,seed_6,target,permute_support,
TAPB,human,seed_7,drug,permute_prior,-0.108741830065
TAPB,human,seed_7,drug,permute_prior_support,0.169027468537
TAPB,human,seed_7,drug,permute_support,0.157005694016
TAPB,human,seed_7,target,permute_prior,0.079712725546
TAPB,human,seed_7,target,permute_prior_support,0.120330980748
TAPB,human,seed_7,target,permute_support,0.074844914224
TAPB,human,seed_8,drug,permute_prior,
TAPB,human,seed_8,drug,permute_prior_support,
TAPB,human,seed_8,drug,permute_support,
TAPB,human,seed_8,target,permute_prior,
TAPB,human,seed_8,target,permute_prior_support,
TAPB,human,seed_8,target,permute_support,
