split,group_axis,profile_label,measure,mean,ci_low,ci_high,num_independent_runs,num_model_dataset_strata,run_win_rate_vs_U
test,drug,U,auprc,0.3188839407407407,0.25712008111111107,0.38307071069444437,43,9,
test,drug,U,delta_auprc_vs_U,0.0,0.0,0.0,43,9,0.0
test,drug,P,auprc,0.3399855222222222,0.26624108745370373,0.41460672115740743,41,9,
test,drug,P,delta_auprc_vs_U,0.027821040740740748,-0.019165766157407404,0.08172554722222221,41,9,0.6585365853658537
test,drug,U+P,auprc,0.3397911277777778,0.26564294833333335,0.4172186519444444,41,9,
test,drug,U+P,delta_auprc_vs_U,0.027626646296296294,-0.019878885462962965,0.0823508509259259,41,9,0.6585365853658537
test,drug,U+E,auprc,0.4851475166666666,0.39730187499999997,0.5734870073611108,41,9,
test,drug,U+E,delta_auprc_vs_U,0.1729830351851852,0.08546859685185186,0.26040170444444444,41,9,0.8292682926829268
test,drug,U+P+E,auprc,0.47774791851851856,0.38259054555555555,0.5686304318055554,41,9,
test,drug,U+P+E,delta_auprc_vs_U,0.165583437037037,0.07904427722222225,0.2534066817129628,41,9,0.8048780487804879
test,drug,Validation-selected PAUSE,auprc,0.46678163888888885,0.3811051701388889,0.5580866824074073,43,9,
test,drug,Validation-selected PAUSE,delta_auprc_vs_U,0.14789769814814815,0.06643410138888889,0.23984327930555555,43,9,0.6744186046511628
test,target,U,auprc,0.3188839407407407,0.25604868000000003,0.38185437013888884,43,9,
test,target,U,delta_auprc_vs_U,0.0,0.0,0.0,43,9,0.0
test,target,P,auprc,0.33985011296296297,0.2672813134722222,0.41328613513888884,41,9,
test,target,P,delta_auprc_vs_U,0.027685631481481492,-0.017182947268518507,0.07996841430555553,41,9,0.5853658536585366
test,target,U+P,auprc,0.34027935000000004,0.26841163643518523,0.41340858074074055,41,9,
test,target,U+P,delta_auprc_vs_U,0.02811486851851852,-0.01715169328703703,0.08011265069444432,41,9,0.6097560975609756
test,target,U+E,auprc,0.48594723888888885,0.39887535046296296,0.5716891862962963,41,9,
test,target,U+E,delta_auprc_vs_U,0.17378275740740742,0.08792969638888891,0.2584681601388886,41,9,0.8292682926829268
test,target,U+P+E,auprc,0.4887877518518519,0.39661150999999994,0.5781578712037038,41,9,
test,target,U+P+E,delta_auprc_vs_U,0.1766232703703704,0.09253176027777778,0.26035975125,41,9,0.8292682926829268
test,target,Validation-selected PAUSE,auprc,0.36100303148148144,0.29642521625,0.4216893538888888,43,9,
test,target,Validation-selected PAUSE,delta_auprc_vs_U,0.042119090740740744,0.007295271944444445,0.08167296680555552,43,9,0.5813953488372093
validation,drug,U,auprc,0.31043975015432096,0.21372613750000002,0.42093408611111105,36,9,
validation,drug,U,delta_auprc_vs_U,0.0,0.0,0.0,36,9,0.0
validation,drug,P,auprc,0.3798828109567901,0.27524802864197534,0.5191161357214503,36,9,
validation,drug,P,delta_auprc_vs_U,0.06944306080246913,0.008281712199074054,0.14766455357253058,36,9,0.7222222222222222
validation,drug,U+P,auprc,0.37143103055555554,0.2764904440277778,0.48633812550925914,36,9,
validation,drug,U+P,delta_auprc_vs_U,0.060991280401234554,0.001074166593364175,0.13695872898148095,36,9,0.6944444444444444
validation,drug,U+E,auprc,0.5239637396604938,0.4231665097337963,0.6385383719791664,36,9,
validation,drug,U+E,delta_auprc_vs_U,0.21352398950617282,0.13971055188271606,0.29891861416666626,36,9,0.9722222222222222
validation,drug,U+P+E,auprc,0.5225236703703704,0.4144581842592593,0.6444422978703703,36,9,
validation,drug,U+P+E,delta_auprc_vs_U,0.21208392021604938,0.13421515734567904,0.3026088580787036,36,9,0.9444444444444444
validation,drug,Validation-selected PAUSE,auprc,0.5229313337962963,0.3866072466666667,0.6703015161342591,36,9,
validation,drug,Validation-selected PAUSE,delta_auprc_vs_U,0.2124915836419753,0.14468724166666666,0.31492944365740727,36,9,0.9722222222222222
validation,target,U,auprc,0.3230326842592593,0.23570304848379628,0.4382135882870367,40,9,
validation,target,U,delta_auprc_vs_U,0.0,0.0,0.0,40,9,0.0
validation,target,P,auprc,0.379746286574074,0.28490449708333326,0.49109055103009214,39,9,
validation,target,P,delta_auprc_vs_U,0.07123057222222223,-0.04197305791666667,0.18431139392361098,39,9,0.7435897435897436
validation,target,U+P,auprc,0.3797773912037037,0.2877951816666667,0.4895059200462961,39,9,
validation,target,U+P,delta_auprc_vs_U,0.07126167685185186,-0.040479338553240735,0.1815494275925925,39,9,0.7435897435897436
validation,target,U+E,auprc,0.37186142175925924,0.26895547875000003,0.4857953409374998,39,9,
validation,target,U+E,delta_auprc_vs_U,0.06334570740740743,-0.08447838189814814,0.19186288874999996,39,9,0.717948717948718
validation,target,U+P+E,auprc,0.4174224476851852,0.28220665967592595,0.5703222483680556,39,9,
validation,target,U+P+E,delta_auprc_vs_U,0.10890673333333332,-0.06959133047453703,0.28622685800925923,39,9,0.6666666666666666
validation,target,Validation-selected PAUSE,auprc,0.4944303944444445,0.3645091891203704,0.638811855648148,40,9,
validation,target,Validation-selected PAUSE,delta_auprc_vs_U,0.17139771018518518,0.057318266562500005,0.3249077283680552,40,9,0.85
